what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635756209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635756989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635764244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635767007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635786578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635787311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635807093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635813256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635829114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635829910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635843233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635845247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635861885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635863539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635875084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635876785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635937946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635940145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635977040
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330635978508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330635983001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330635986869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636004249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330636006028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636008009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636054342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636057042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636149356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636230617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636346440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636347220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330636424628
